Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue	FDR
A	1	CTRL	SOR+URS	EHMT1	-1.07194367396499	4.1924757850547	0.00120351948165568	0.00859966982272175
A	1	CTRL	SOR+URS	EID1	-0.822730117564023	7.22111530387507	1.13749789692355e-05	0.000139064172262805
A	1	CTRL	SOR+URS	EID3	1.65387631154562	2.16479216227088	0.0203542544448755	0.089067352216106
A	1	CTRL	SOR+URS	EIF1	-0.810285178089669	10.5621514569249	6.54665736017443e-13	2.31238554162485e-11
A	1	CTRL	SOR+URS	EIF1AD	-0.913907646081026	4.52732523485405	0.0146943409048349	0.0693036237045424
A	1	CTRL	SOR+URS	EIF1AY	-1.32336515252064	6.55023992566289	1.71817591807578e-07	2.93144139338543e-06
A	1	CTRL	SOR+URS	EIF1B	-0.654721928465209	7.84585597948694	5.11645211965268e-05	0.000534935302013927
A	1	CTRL	SOR+URS	EIF2A	-0.567735931695429	7.09412174072115	0.00274500686587117	0.0174779447033583
A	1	CTRL	SOR+URS	EIF2AK1	0.716911656673768	4.85319902014049	0.0150019282740877	0.0703986357680617
A	1	CTRL	SOR+URS	EIF2B3	-1.07851443364679	5.47060607148703	0.00225624035292633	0.0148026130383505
A	1	CTRL	SOR+URS	EIF2B4	-1.37017118505494	3.77045089042555	0.0179423339360816	0.0811940312363748
A	1	CTRL	SOR+URS	EIF2S1	-0.674647764917898	6.99352413518502	0.000827539660272973	0.00621915803341431
A	1	CTRL	SOR+URS	EIF2S3	-0.64976087755938	7.81636397962721	2.59409689223567e-05	0.000292020338217585
A	1	CTRL	SOR+URS	EIF3A	1.18679101639459	7.9324342144487	9.47146001970645e-20	8.59600770816274e-18
A	1	CTRL	SOR+URS	EIF3D	-0.695803745548473	7.44017691701012	0.000285172610673893	0.00249292364474723
A	1	CTRL	SOR+URS	EIF3E	-0.660714223448754	9.3062432355992	2.00681023021815e-07	3.38412940628659e-06
A	1	CTRL	SOR+URS	EIF3F	0.708125067360096	6.8737231205977	2.4245437708233e-05	0.000275055230389668
A	1	CTRL	SOR+URS	EIF3G	-0.705034650922287	6.44731461574843	0.00102468907223901	0.00748137513133608
A	1	CTRL	SOR+URS	EIF3H	-1.08384330510525	9.49113311150971	1.09893844659591e-17	7.51938563275497e-16
A	1	CTRL	SOR+URS	EIF3I	-0.823233039455551	8.00074095717056	1.72325233934752e-07	2.93558343389461e-06
A	1	CTRL	SOR+URS	EIF3K	-1.17551275630144	8.34733649891739	4.34941015384464e-14	1.85154531923764e-12
A	1	CTRL	SOR+URS	EIF3L	-0.9110824449031	9.44795416181457	7.69914544688114e-13	2.69759066609355e-11
