Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	ALE.A.7.17.1.F7	ALE.A.7.18.1.F8	ALE.A.8.13.1.G10	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	ALE.A.7.17.1.F7.Norm	ALE.A.7.18.1.F8.Norm	ALE.A.8.13.1.G10.Norm
HLA-F	9	3	8	2	2	2	1	7	2	5	4	5	8	5	2	3	6.10684388328821	2.21829499981186	5.70789075914554	1.59544951654375	1.90325296531232	1.42968642216447	1.53796301651771	5.21403666174848	1.65108804902963	2.64097427765501	3.5683241370393	4.60130159045602	5.53885987338825	6.20017387865157	2.6981797087421	2.23318022803325
HLA-F-AS1	1	5	8	8	5	5	0	8	5	10	3	3	8	3	3	6	0.678538209254245	3.69715833301977	5.70789075914554	6.38179806617498	4.75813241328081	3.57421605541117	0	5.95889904199826	4.12772012257407	5.28194855531002	2.67624310277948	2.76078095427361	5.53885987338825	3.72010432719094	4.04726956311315	4.46636045606651
HLA-H	1	1	0	2	1	0	0	0	2	2	0	2	2	1	1	0	0.678538209254245	0.739431666603954	0	1.59544951654375	0.951626482656161	0	0	0	1.65108804902963	1.056389711062	0	1.84052063618241	1.38471496834706	1.24003477573031	1.34908985437105	0
HLA-L	2	1	0	2	1	1	1	0	5	3	0	0	1	0	0	0	1.35707641850849	0.739431666603954	0	1.59544951654375	0.951626482656161	0.714843211082234	1.53796301651771	0	4.12772012257407	1.58458456659301	0	0	0.692357484173531	0	0	0
HLCS	13	10	8	12	10	8	7	11	13	5	8	6	6	8	8	9	8.82099672030519	7.39431666603954	5.70789075914554	9.57269709926248	9.51626482656161	5.71874568865788	10.765741115624	8.19348618274761	10.7320723186926	2.64097427765501	7.1366482740786	5.52156190854722	4.15414490504119	9.92027820584251	10.7927188349684	6.69954068409976
HLTF	60	49	54	52	42	45	28	47	39	57	37	55	52	31	30	49	40.7122925552547	36.2321516635937	38.5282626242324	41.4816874301374	39.9683122715588	32.1679444987005	43.062964462496	35.0085318717398	32.1962169560777	30.1071067652671	33.0069982676135	50.6143174950162	36.0025891770236	38.4410780476397	40.4726956311315	36.4752770578765
HLX	5	2	8	4	3	5	2	3	4	7	0	2	4	2	2	8	3.39269104627123	1.47886333320791	5.70789075914554	3.19089903308749	2.85487944796848	3.57421605541117	3.07592603303543	2.23458714074935	3.30217609805926	3.69736398871701	0	1.84052063618241	2.76942993669413	2.48006955146063	2.6981797087421	5.95514727475534
HM13	51	29	36	22	26	35	11	37	25	49	34	28	35	20	20	24	34.6054486719665	21.4435183315147	25.6855084161549	17.5499446819812	24.7422885490602	25.0195123878782	16.9175931816949	27.5599080692419	20.6386006128703	25.8815479210191	30.3307551648341	25.7672889065537	24.2325119460736	24.8006955146063	26.981797087421	17.865441824266
HMBOX1	7	14	18	21	6	11	10	13	12	18	6	8	10	8	9	14	4.74976746477972	10.3520433324554	12.8427542080775	16.7522199237093	5.70975889593697	7.86327532190458	15.3796301651771	9.68321094324717	9.90652829417777	9.50750739955803	5.35248620555895	7.36208254472963	6.92357484173531	9.92027820584251	12.1418086893395	10.4215077308218
HMBS	15	16	9	12	7	14	3	16	10	10	11	9	6	7	3	13	10.1780731388137	11.8309066656633	6.42137710403874	9.57269709926248	6.66138537859313	10.0078049551513	4.61388904955314	11.9177980839965	8.25544024514814	5.28194855531002	9.81289137685808	8.28234286282083	4.15414490504119	8.6802434301122	4.04726956311315	9.67711432147743
HMCN1	80	73	58	84	53	66	47	62	41	91	47	52	58	38	27	43	54.2830567403396	53.9785116620886	41.3822080038052	67.0088796948373	50.4362035807765	47.1796519314275	72.2842617763326	46.1814675754865	33.8473050051074	48.0657318533212	41.9278086102118	47.8535365407426	40.1567340820648	47.1213214777519	36.4254260680184	32.00891660181
HMG20A	38	28	29	29	19	24	19	27	29	42	17	26	27	17	17	23	25.7844519516613	20.7040866649107	20.6911040019026	23.1340179898843	18.0809031704671	17.1562370659736	29.2212973138366	20.1112842667441	23.9407767109296	22.1841839323021	15.165377582417	23.9267682703713	18.6936520726853	21.0805911874153	22.9345275243079	17.1210484149216
HMG20B	2	4	4	4	0	4	3	10	4	4	1	6	5	4	2	4	1.35707641850849	2.95772666641581	2.85394537957277	3.19089903308749	0	2.85937284432894	4.61388904955314	7.44862380249782	3.30217609805926	2.11277942212401	0.892081034259825	5.52156190854722	3.46178742086766	4.96013910292126	2.6981797087421	2.97757363737767
HMGA1	5	5	5	6	0	7	1	1	1	4	2	2	2	1	1	1	3.39269104627123	3.69715833301977	3.56743172446596	4.78634854963124	0	5.00390247757564	1.53796301651771	0.744862380249782	0.825544024514814	2.11277942212401	1.78416206851965	1.84052063618241	1.38471496834706	1.24003477573031	1.34908985437105	0.744393409344418
HMGA2	5	2	3	4	2	3	3	2	2	3	0	4	2	0	0	0	3.39269104627123	1.47886333320791	2.14045903467958	3.19089903308749	1.90325296531232	2.1445296332467	4.61388904955314	1.48972476049956	1.65108804902963	1.58458456659301	0	3.68104127236481	1.38471496834706	0	0	0
HMGB1	721	633	756	577	546	768	273	656	562	962	568	573	728	354	357	607	489.226048872311	468.060244960303	539.395676739254	460.287185522871	519.588059530264	548.999586111156	419.863903509336	488.629721443857	463.955741777325	508.123451020824	506.702027459581	527.30916226626	504.036248478331	438.972310608531	481.625078010465	451.846799472061
HMGB2	234	191	250	196	192	295	117	211	215	369	150	118	401	190	178	326	158.777940965493	141.231448321355	178.371586223298	156.354052621287	182.712284669983	210.878747269259	179.941672932573	157.165962232704	177.491965270685	194.90390169094	133.812155138974	108.590717534762	277.635351153586	235.60660738876	240.137994078047	242.67225144628
HMGB3	45	44	55	43	41	71	28	49	55	87	43	37	84	35	28	47	30.534219416441	32.534993330574	39.2417489691256	34.3021646056905	39.0166857889026	50.7538679868386	43.062964462496	36.4982566322393	45.4049213483148	45.9529524311971	38.3594844731725	34.0496317693745	58.1580286705766	43.401217150561	37.7745159223894	34.9864902391876
HMGB3P1	9	4	3	4	2	4	3	8	3	12	5	1	4	6	3	3	6.10684388328821	2.95772666641581	2.14045903467958	3.19089903308749	1.90325296531232	2.85937284432894	4.61388904955314	5.95889904199826	2.47663207354444	6.33833826637202	4.46040517129913	0.920260318091203	2.76942993669413	7.44020865438188	4.04726956311315	2.23318022803325
HMGCL	80	64	106	85	77	96	35	51	65	87	58	54	104	56	44	108	54.2830567403396	47.323626662653	75.6295525586784	67.8066044531092	73.2752391645244	68.6249482638945	53.82870557812	37.9879813927389	53.6603615934629	45.9529524311971	51.7406999870699	49.694057176925	72.0051783540473	69.4419474408976	59.3599535923263	80.3944882091971
HMGCR	18	13	8	14	14	19	4	19	11	23	3	9	11	4	5	16	12.2136877665764	9.6126116658514	5.70789075914554	11.1681466158062	13.3227707571863	13.5820210105625	6.15185206607086	14.1523852247459	9.08098426966295	12.148481677213	2.67624310277948	8.28234286282083	7.61593232590885	4.96013910292126	6.74544927185526	11.9102945495107
HMGCS1	11	11	16	15	7	10	9	17	20	22	17	10	13	9	7	11	7.4639203017967	8.13374833264349	11.4157815182911	11.9658713740781	6.66138537859313	7.14843211082234	13.8416671486594	12.6626604642463	16.5108804902963	11.620286821682	15.165377582417	9.20260318091203	9.00064729425591	11.1603129815728	9.44362898059736	8.18832750278859
HMGN1	147	119	157	125	138	154	65	109	139	203	108	91	161	77	80	122	99.7451167603741	87.9923683258705	112.017356148231	99.7155947839841	131.32445460655	110.085854506664	99.9675960736514	81.1899994472263	114.750619407559	107.223555672793	96.3447517000611	83.7436889462995	111.469554951939	95.4826777312342	107.927188349684	90.815995940019
HMGN2	304	239	286	256	251	310	93	290	274	420	210	215	417	178	166	363	206.275615613291	176.724168318345	204.057094639453	204.2175381176	238.858247146696	221.601395435493	143.030560536147	216.010090272437	226.199062717059	221.841839323021	187.337017194563	197.855968389609	288.713070900363	220.726190079996	223.948915825595	270.214807592024
HMGN3	122	126	159	123	130	160	60	131	133	179	114	107	159	62	74	135	82.7816615290179	93.1683899920982	113.444328838018	98.1201452674404	123.711442745301	114.374913773158	92.2777809910629	97.5769718127215	109.79735526047	94.5468791400493	101.69723790562	98.4678540357588	110.084839983591	76.8821560952795	99.8326492234578	100.493110261496
HMGN4	19	22	42	24	26	19	7	18	13	30	18	18	23	15	9	21	12.8922259758307	16.267496665287	29.9664264855141	19.145394198525	24.7422885490602	13.5820210105625	10.765741115624	13.4075228444961	10.7320723186926	15.8458456659301	16.0574586166769	16.5646857256417	15.9242221359912	18.6005216359547	12.1418086893395	15.6322615962328
HMGN5	15	9	14	12	17	12	8	11	9	17	11	5	17	4	8	10	10.1780731388137	6.65488499943558	9.9888088285047	9.57269709926248	16.1776502051547	8.57811853298681	12.3037041321417	8.19348618274761	7.42989622063333	8.97931254402703	9.81289137685808	4.60130159045602	11.77007723095	4.96013910292126	10.7927188349684	7.44393409344418
HMGXB3	10	6	6	6	8	16	8	12	13	19	8	2	15	8	3	14	6.78538209254245	4.43658999962372	4.28091806935916	4.78634854963124	7.61301186124929	11.4374913773158	12.3037041321417	8.93834856299739	10.7320723186926	10.035702255089	7.1366482740786	1.84052063618241	10.385362262603	9.92027820584251	4.04726956311315	10.4215077308218
HMGXB4	43	34	30	27	29	43	11	35	26	40	22	40	38	16	15	36	29.1771429979325	25.1406766645344	21.4045903467958	21.5385684733406	27.5971679970287	30.7382580765361	16.9175931816949	26.0701833087424	21.4641446373852	21.1277942212401	19.6257827537162	36.8104127236481	26.3095843985942	19.840556411685	20.2363478155658	26.798162736399
HMHA1	8	5	9	6	3	8	4	5	7	13	7	10	5	6	6	5	5.42830567403396	3.69715833301977	6.42137710403874	4.78634854963124	2.85487944796848	5.71874568865788	6.15185206607086	3.72431190124891	5.7788081716037	6.86653312190302	6.24456723981878	9.20260318091203	3.46178742086766	7.44020865438188	8.09453912622631	3.72196704672209
HMOX1	7	7	10	7	8	12	1	8	9	8	2	6	12	2	5	9	4.74976746477972	5.17602166622768	7.13486344893193	5.58407330790311	7.61301186124929	8.57811853298681	1.53796301651771	5.95889904199826	7.42989622063333	4.22555884424801	1.78416206851965	5.52156190854722	8.30828981008238	2.48006955146063	6.74544927185526	6.69954068409976
HMOX2	55	43	45	37	33	47	20	36	41	61	36	42	45	29	21	38	37.3196015089835	31.79556166397	32.1068855201937	29.5158160560593	31.4036739276533	33.597630920865	30.7592603303543	26.8150456889922	33.8473050051074	32.2198861873911	32.1149172333537	38.6509333598305	31.1560867878089	35.9610084961791	28.3308869417921	28.2869495550879
HN1	37	26	33	18	17	36	13	20	28	37	18	19	34	18	13	25	25.1059137424071	19.2252233317028	23.5450493814754	14.3590456488937	16.1776502051547	25.7343555989604	19.9935192147303	14.8972476049956	23.1152326864148	19.5432096546471	16.0574586166769	17.4849460437329	23.5401544619001	22.3206259631456	17.5381681068237	18.6098352336104
HN1L	16	15	12	11	12	15	3	16	12	18	12	2	11	6	8	22	10.8566113480679	11.0914749990593	8.56183613871831	8.7749723409906	11.4195177918739	10.7226481662335	4.61388904955314	11.9177980839965	9.90652829417777	9.50750739955803	10.7049724111179	1.84052063618241	7.61593232590885	7.44020865438188	10.7927188349684	16.3766550055772
HNF1A-AS1	4	10	5	9	3	2	6	9	9	11	3	3	5	1	1	7	2.71415283701698	7.39431666603954	3.56743172446596	7.17952282444686	2.85487944796848	1.42968642216447	9.22777809910629	6.70376142224804	7.42989622063333	5.81014341084102	2.67624310277948	2.76078095427361	3.46178742086766	1.24003477573031	1.34908985437105	5.21075386541092
HNMT	127	123	184	143	122	167	71	107	101	153	142	107	161	66	85	152	86.1743525752892	90.9500949922863	131.281487460347	114.074640432878	116.098430884052	119.378816250733	109.195374172758	79.7002746867267	83.3799464759962	80.8138128962433	126.675506864895	98.4678540357588	111.469554951939	81.8422951982007	114.672637621539	113.147798220351
HNRNPA0	40	46	44	33	32	23	25	29	28	42	39	37	41	20	10	38	27.1415283701698	34.0138566637819	31.3933991753005	26.3249170229718	30.4520474449972	16.4413938548914	38.4490754129429	21.6010090272437	23.1152326864148	22.1841839323021	34.7911603361332	34.0496317693745	28.3866568511148	24.8006955146063	13.4908985437105	28.2869495550879
HNRNPA1	611	541	588	508	448	630	218	619	537	872	483	483	709	361	344	566	414.586845854344	400.032531632739	419.529970797197	405.244177202112	426.32866422996	450.351222981808	335.275937600862	461.069813374615	443.317141164455	460.585914023034	430.875139547496	444.485733638051	490.881456279034	447.652554038643	464.086909903642	421.32666968894
HNRNPA1L2	6	6	4	3	7	9	3	5	9	17	4	8	9	5	1	6	4.07122925552547	4.43658999962372	2.85394537957277	2.39317427481562	6.66138537859313	6.43358889974011	4.61388904955314	3.72431190124891	7.42989622063333	8.97931254402703	3.5683241370393	7.36208254472963	6.23121735756178	6.20017387865157	1.34908985437105	4.46636045606651
HNRNPA2B1	534	369	465	419	352	516	215	480	424	667	332	326	446	208	225	377	362.339403741767	272.850284976859	331.771150375335	334.246673715915	334.972521894969	368.859096918433	330.662048551309	357.533942519896	350.030666394281	352.305968639178	296.170903374262	300.004863697732	308.791437941395	257.927233351905	303.545217233487	280.636315322845
HNRNPA3	153	91	70	85	62	82	39	99	107	157	61	70	88	39	39	72	103.8163460159	67.2882816609598	49.9440441425235	67.8066044531092	59.000841924682	58.6171433087432	59.9805576441909	73.7413756447284	88.3332106230851	82.9265923183673	54.4169430898493	64.4182222663842	60.9274586072708	48.3613562534822	52.614504320471	53.5963254727981
HNRNPAB	109	95	90	72	70	77	48	80	91	148	65	64	67	38	41	79	73.9606648087127	70.2460083273756	64.2137710403874	57.4361825955749	66.6138537859313	55.0429272533321	73.8222247928503	59.5889904199826	75.1245062308481	78.1728386185883	57.9852672268886	58.896660357837	46.3879514396266	47.1213214777519	55.3126840292131	58.807079338209
HNRNPC	460	372	432	382	333	448	190	400	316	533	310	336	430	201	176	384	312.127576256953	275.068579976671	308.226100993859	304.730857659856	316.891618724502	320.249758564841	292.212973138366	297.944952099913	260.871911746681	281.527857998024	276.545120620546	309.207466878644	297.713718194618	249.246989921793	237.439814369305	285.847069188256
HNRNPD	66	48	42	33	27	49	32	57	55	78	32	37	31	24	24	54	44.7835218107802	35.4927199969898	29.9664264855141	26.3249170229718	25.6939150317164	35.0273173430295	49.2148165285669	42.4571556742376	45.4049213483148	41.1991987314181	28.5465930963144	34.0496317693745	21.4630820093795	29.7608346175275	32.3781565049052	40.1972441045986
HNRNPDL	461	350	372	338	305	362	154	366	333	603	253	262	381	181	195	361	312.806114466207	258.801083311384	265.416920300268	269.630968295893	290.246077210129	258.773242411769	236.846304543728	272.61963117142	274.906160163433	318.501497885194	225.696501667736	241.108203339895	263.788201470115	224.446294407187	263.072521602355	268.726020773335
HNRNPF	132	114	149	92	118	134	66	115	128	188	124	112	155	69	49	132	89.5670436215604	84.2952099928507	106.309465389086	73.3906777610123	112.291924953427	95.7889902850194	101.505559090169	85.659173728725	105.669635137896	99.3006328398283	110.618048248218	103.069155626215	107.315410046897	85.5623995253917	66.1054028641815	98.2599300334631
HNRNPH1	206	177	155	135	109	139	84	173	146	268	123	127	158	72	62	138	139.778871106375	130.8794049889	110.590383458445	107.692842366703	103.727286609522	99.3632063404306	129.188893387488	128.861191783212	120.529427579163	141.556221282308	109.725967213958	116.873060397583	109.392482499418	89.2825038525826	83.6435709710052	102.72629048953
HNRNPH3	122	79	114	101	71	129	64	98	90	171	78	76	127	58	56	106	82.7816615290179	58.4151016617123	81.337443317824	80.5702005854592	67.5654802685874	92.2147742296082	98.4296330571337	72.9965132644787	74.2989622063333	90.3213202958013	69.5823206722664	69.9397841749315	87.9294004900385	71.9220169923582	75.5490318447789	78.9057013905083
HNRNPK	575	520	616	507	470	626	206	515	518	823	437	434	654	320	304	613	390.159470321191	384.504466634056	439.507588454207	404.44645244384	447.264446848396	447.491850137479	316.820381402649	383.604125828638	427.631804698674	434.704366102014	389.839411971544	399.392978051582	452.80179464949	396.8111282337	410.1233157288	456.313159928128
HNRNPL	22	32	17	24	13	15	13	25	32	28	17	8	25	17	11	19	14.9278406035934	23.6618133313265	12.1292678631843	19.145394198525	12.3711442745301	10.7226481662335	19.9935192147303	18.6215595062446	26.417408784474	14.789455954868	15.165377582417	7.36208254472963	17.3089371043383	21.0805911874153	14.8399883980816	14.1434747775439
HNRNPLL	20	15	9	12	15	8	7	11	11	16	9	10	5	11	8	13	13.5707641850849	11.0914749990593	6.42137710403874	9.57269709926248	14.2743972398424	5.71874568865788	10.765741115624	8.19348618274761	9.08098426966295	8.45111768849603	8.02872930833843	9.20260318091203	3.46178742086766	13.6403825330335	10.7927188349684	9.67711432147743
HNRNPM	87	63	64	52	43	58	31	67	59	84	48	37	61	40	40	54	59.0328242051193	46.5841949960491	45.6631260731643	41.4816874301374	40.9199387542149	41.4609062427696	47.6768535120492	49.9057794767354	48.707097446374	44.3683678646041	42.8198896444716	34.0496317693745	42.2338065345854	49.6013910292126	53.9635941748421	40.1972441045986
HNRNPR	304	212	227	209	176	299	116	290	258	411	171	204	238	123	125	199	206.275615613291	156.759513320038	161.961400290755	166.724474478821	167.486260947484	213.738120113588	178.403709916055	216.010090272437	212.990358324822	217.088085623242	152.54585685843	187.733104890605	164.7810812333	152.524277414829	168.636231796381	148.134288459539
HNRNPU	217	176	185	164	125	138	97	200	149	258	142	127	137	79	67	122	147.242791408171	130.139973322296	131.994973805241	130.826860356587	118.95331033202	98.6483631293484	149.182412602218	148.972476049956	123.006059652707	136.274272726998	126.675506864895	116.873060397583	94.8529753317738	97.9627472826948	90.3890202428604	90.815995940019
HNRNPU-AS1	10	11	5	6	4	7	4	7	8	12	6	7	13	5	6	5	6.78538209254245	8.13374833264349	3.56743172446596	4.78634854963124	3.80650593062464	5.00390247757564	6.15185206607086	5.21403666174848	6.60435219611851	6.33833826637202	5.35248620555895	6.44182222663842	9.00064729425591	6.20017387865157	8.09453912622631	3.72196704672209
HNRNPUL1	42	23	28	28	19	30	15	26	30	41	34	19	33	22	12	20	28.4986047886783	17.0069283318909	19.9776176570094	22.3362932316124	18.0809031704671	21.445296332467	23.0694452477657	19.3664218864943	24.7663207354444	21.6559890767711	30.3307551648341	17.4849460437329	22.8477969777265	27.2807650660669	16.1890782524526	14.8878681868884
HNRNPUL2	10	10	4	4	7	5	5	2	8	5	6	7	5	3	0	8	6.78538209254245	7.39431666603954	2.85394537957277	3.19089903308749	6.66138537859313	3.57421605541117	7.68981508258857	1.48972476049956	6.60435219611851	2.64097427765501	5.35248620555895	6.44182222663842	3.46178742086766	3.72010432719094	0	5.95514727475534
HOGA1	6	6	5	5	6	5	3	8	7	12	4	3	7	6	4	2	4.07122925552547	4.43658999962372	3.56743172446596	3.98862379135937	5.70975889593697	3.57421605541117	4.61388904955314	5.95889904199826	5.7788081716037	6.33833826637202	3.5683241370393	2.76078095427361	4.84650238921472	7.44020865438188	5.3963594174842	1.48878681868884
HOMER1	7	3	7	3	4	3	2	8	6	8	5	4	3	3	3	3	4.74976746477972	2.21829499981186	4.99440441425235	2.39317427481562	3.80650593062464	2.1445296332467	3.07592603303543	5.95889904199826	4.95326414708888	4.22555884424801	4.46040517129913	3.68104127236481	2.07707245252059	3.72010432719094	4.04726956311315	2.23318022803325
HOMER3	3	4	7	4	4	2	0	4	4	7	2	4	3	2	2	2	2.03561462776274	2.95772666641581	4.99440441425235	3.19089903308749	3.80650593062464	1.42968642216447	0	2.97944952099913	3.30217609805926	3.69736398871701	1.78416206851965	3.68104127236481	2.07707245252059	2.48006955146063	2.6981797087421	1.48878681868884
HOMEZ	9	11	5	2	6	7	4	4	5	8	2	5	4	5	2	1	6.10684388328821	8.13374833264349	3.56743172446596	1.59544951654375	5.70975889593697	5.00390247757564	6.15185206607086	2.97944952099913	4.12772012257407	4.22555884424801	1.78416206851965	4.60130159045602	2.76942993669413	6.20017387865157	2.6981797087421	0.744393409344418
HOOK2	2	0	3	2	3	1	1	3	3	7	3	1	1	0	0	2	1.35707641850849	0	2.14045903467958	1.59544951654375	2.85487944796848	0.714843211082234	1.53796301651771	2.23458714074935	2.47663207354444	3.69736398871701	2.67624310277948	0.920260318091203	0.692357484173531	0	0	1.48878681868884
HOOK3	101	96	66	74	63	102	47	104	75	119	70	76	63	51	39	56	68.5323591346788	70.9854399939796	47.0900987629507	59.0316321121186	59.9524684073382	72.9140075303879	72.2842617763326	77.4656875459774	61.915801838611	62.8551878081892	62.4456723981878	69.9397841749315	43.6185215029325	63.241773562246	52.614504320471	41.6860309232874
HP1BP3	127	131	120	108	83	146	53	122	88	164	96	103	140	71	71	112	86.1743525752892	96.8655483251179	85.6183613871831	86.1542738933623	78.9849980604614	104.367108818006	81.5120398754389	90.8732103904734	72.6478741573036	86.6239563070843	85.6397792889432	94.786812763394	96.9300477842944	88.0424690768523	95.7853796603446	83.3720618465748
HPCAL1	2	8	5	2	0	3	2	5	6	4	4	3	5	5	2	4	1.35707641850849	5.91545333283163	3.56743172446596	1.59544951654375	0	2.1445296332467	3.07592603303543	3.72431190124891	4.95326414708888	2.11277942212401	3.5683241370393	2.76078095427361	3.46178742086766	6.20017387865157	2.6981797087421	2.97757363737767
HPD	0	0	0	2	1	0	0	0	1	1	0	0	2	2	0	1	0	0	0	1.59544951654375	0.951626482656161	0	0	0	0.825544024514814	0.528194855531002	0	0	1.38471496834706	2.48006955146063	0	0.744393409344418
HPN-AS1	6	1	4	1	1	6	3	5	4	1	2	8	6	3	3	3	4.07122925552547	0.739431666603954	2.85394537957277	0.797724758271873	0.951626482656161	4.28905926649341	4.61388904955314	3.72431190124891	3.30217609805926	0.528194855531002	1.78416206851965	7.36208254472963	4.15414490504119	3.72010432719094	4.04726956311315	2.23318022803325
HPRT1	44	53	56	43	49	66	21	51	38	70	52	43	64	25	33	56	29.8556812071868	39.1898783300095	39.9552353140188	34.3021646056905	46.6296976501519	47.1796519314275	32.297223346872	37.9879813927389	31.3706729315629	36.9736398871701	46.3882137815109	39.5711936779217	44.310878987106	31.0008693932578	44.5199651942447	41.6860309232874
HPS1	22	15	18	19	10	18	3	18	12	17	17	9	19	8	4	11	14.9278406035934	11.0914749990593	12.8427542080775	15.1567704071656	9.51626482656161	12.8671777994802	4.61388904955314	13.4075228444961	9.90652829417777	8.97931254402703	15.165377582417	8.28234286282083	13.1547921992971	9.92027820584251	5.3963594174842	8.18832750278859
HPS3	1	1	1	0	2	5	1	1	0	2	2	1	1	2	1	6	0.678538209254245	0.739431666603954	0.713486344893193	0	1.90325296531232	3.57421605541117	1.53796301651771	0.744862380249782	0	1.056389711062	1.78416206851965	0.920260318091203	0.692357484173531	2.48006955146063	1.34908985437105	4.46636045606651
HPS4	13	15	13	12	13	18	9	20	11	17	11	13	20	10	10	22	8.82099672030519	11.0914749990593	9.27532248361151	9.57269709926248	12.3711442745301	12.8671777994802	13.8416671486594	14.8972476049956	9.08098426966295	8.97931254402703	9.81289137685808	11.9633841351856	13.8471496834706	12.4003477573031	13.4908985437105	16.3766550055772
HPS5	89	90	69	72	67	71	30	76	56	105	63	63	83	42	38	58	60.3899006236278	66.5488499943558	49.2305577976303	57.4361825955749	63.7589743379628	50.7538679868386	46.1388904955314	56.6095408989835	46.2304653728296	55.4604598307552	56.201105158369	57.9764000397458	57.4656711864031	52.0814605806732	51.2654144660999	43.1748177419762
HPS6	7	2	4	2	0	5	2	2	1	10	1	4	4	1	1	2	4.74976746477972	1.47886333320791	2.85394537957277	1.59544951654375	0	3.57421605541117	3.07592603303543	1.48972476049956	0.825544024514814	5.28194855531002	0.892081034259825	3.68104127236481	2.76942993669413	1.24003477573031	1.34908985437105	1.48878681868884
HPSE	8	10	6	5	3	9	4	13	8	8	3	2	6	4	2	7	5.42830567403396	7.39431666603954	4.28091806935916	3.98862379135937	2.85487944796848	6.43358889974011	6.15185206607086	9.68321094324717	6.60435219611851	4.22555884424801	2.67624310277948	1.84052063618241	4.15414490504119	4.96013910292126	2.6981797087421	5.21075386541092
HRAS	5	6	10	9	3	8	5	8	8	5	8	7	11	7	4	11	3.39269104627123	4.43658999962372	7.13486344893193	7.17952282444686	2.85487944796848	5.71874568865788	7.68981508258857	5.95889904199826	6.60435219611851	2.64097427765501	7.1366482740786	6.44182222663842	7.61593232590885	8.6802434301122	5.3963594174842	8.18832750278859
HRCT1	1	1	1	1	0	1	1	2	0	2	1	0	2	0	1	1	0.678538209254245	0.739431666603954	0.713486344893193	0.797724758271873	0	0.714843211082234	1.53796301651771	1.48972476049956	0	1.056389711062	0.892081034259825	0	1.38471496834706	0	1.34908985437105	0.744393409344418
HRH1	5	16	9	6	7	16	6	11	9	10	12	10	7	8	7	10	3.39269104627123	11.8309066656633	6.42137710403874	4.78634854963124	6.66138537859313	11.4374913773158	9.22777809910629	8.19348618274761	7.42989622063333	5.28194855531002	10.7049724111179	9.20260318091203	4.84650238921472	9.92027820584251	9.44362898059736	7.44393409344418
HRH4	9	10	9	6	3	11	3	5	8	10	7	5	6	1	7	6	6.10684388328821	7.39431666603954	6.42137710403874	4.78634854963124	2.85487944796848	7.86327532190458	4.61388904955314	3.72431190124891	6.60435219611851	5.28194855531002	6.24456723981878	4.60130159045602	4.15414490504119	1.24003477573031	9.44362898059736	4.46636045606651
HRSP12	42	45	54	52	42	68	26	48	44	78	42	33	65	34	27	54	28.4986047886783	33.2744249971779	38.5282626242324	41.4816874301374	39.9683122715588	48.6093383535919	39.9870384294606	35.7533942519895	36.3239370786518	41.1991987314181	37.4674034389127	30.3685904970097	45.0032364712795	42.1611823748307	36.4254260680184	40.1972441045986
HS1BP3	12	4	7	4	4	13	2	14	6	11	2	4	2	3	3	4	8.14245851105094	2.95772666641581	4.99440441425235	3.19089903308749	3.80650593062464	9.29296174406905	3.07592603303543	10.428073323497	4.95326414708888	5.81014341084102	1.78416206851965	3.68104127236481	1.38471496834706	3.72010432719094	4.04726956311315	2.97757363737767
HS2ST1	19	15	13	16	17	16	10	14	16	28	17	14	12	9	4	12	12.8922259758307	11.0914749990593	9.27532248361151	12.76359613235	16.1776502051547	11.4374913773158	15.3796301651771	10.428073323497	13.208704392237	14.789455954868	15.165377582417	12.8836444532768	8.30828981008238	11.1603129815728	5.3963594174842	8.93272091213301
HS6ST1	4	2	8	4	4	7	3	2	3	6	2	4	4	3	4	8	2.71415283701698	1.47886333320791	5.70789075914554	3.19089903308749	3.80650593062464	5.00390247757564	4.61388904955314	1.48972476049956	2.47663207354444	3.16916913318601	1.78416206851965	3.68104127236481	2.76942993669413	3.72010432719094	5.3963594174842	5.95514727475534
HSBP1	592	562	617	538	496	644	260	488	518	809	494	456	733	346	384	692	401.694619878513	415.560596631422	440.2210747991	429.175919950268	472.006735397456	460.359027936959	399.870384294606	363.492841561894	427.631804698674	427.30963812458	440.688030924354	419.638705049589	507.498035899198	429.052032402689	518.050504078484	515.120239266337
