Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	ALE.A.7.17.1.F7	ALE.A.7.18.1.F8	ALE.A.8.13.1.G10	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	ALE.A.7.17.1.F7.Norm	ALE.A.7.18.1.F8.Norm	ALE.A.8.13.1.G10.Norm
AASS	20	19	13	9	9	8	7	9	20	23	6	10	10	7	6	9	13.5707641850849	14.0492016654751	9.27532248361151	7.17952282444686	8.56463834390545	5.71874568865788	10.765741115624	6.70376142224804	16.5108804902963	12.148481677213	5.35248620555895	9.20260318091203	6.92357484173531	8.6802434301122	8.09453912622631	6.69954068409976
AATF	15	7	14	15	14	22	11	13	11	19	8	15	6	4	4	10	10.1780731388137	5.17602166622768	9.9888088285047	11.9658713740781	13.3227707571863	15.7265506438092	16.9175931816949	9.68321094324717	9.08098426966295	10.035702255089	7.1366482740786	13.8039047713681	4.15414490504119	4.96013910292126	5.3963594174842	7.44393409344418
ABAT	4	0	0	1	0	0	0	0	1	3	3	1	0	1	0	3	2.71415283701698	0	0	0.797724758271873	0	0	0	0	0.825544024514814	1.58458456659301	2.67624310277948	0.920260318091203	0	1.24003477573031	0	2.23318022803325
ABCA1	215	223	329	291	141	208	137	332	276	546	178	170	280	110	128	215	145.885714989663	164.893261652682	234.73700746986	232.137904657115	134.179334054519	148.687387905105	210.700933262927	247.294310242928	227.850150766089	288.394391119927	158.790424098249	156.444254075505	193.860095568589	136.403825330335	172.683501359495	160.04458300905
ABCA10	16	6	8	4	12	6	5	14	11	15	8	2	13	10	6	9	10.8566113480679	4.43658999962372	5.70789075914554	3.19089903308749	11.4195177918739	4.28905926649341	7.68981508258857	10.428073323497	9.08098426966295	7.92292283296503	7.1366482740786	1.84052063618241	9.00064729425591	12.4003477573031	8.09453912622631	6.69954068409976
ABCA11P	8	6	6	5	7	8	2	4	6	9	3	4	4	3	3	6	5.42830567403396	4.43658999962372	4.28091806935916	3.98862379135937	6.66138537859313	5.71874568865788	3.07592603303543	2.97944952099913	4.95326414708888	4.75375369977902	2.67624310277948	3.68104127236481	2.76942993669413	3.72010432719094	4.04726956311315	4.46636045606651
ABCA13	1	3	5	3	0	4	1	4	1	10	5	2	0	3	1	3	0.678538209254245	2.21829499981186	3.56743172446596	2.39317427481562	0	2.85937284432894	1.53796301651771	2.97944952099913	0.825544024514814	5.28194855531002	4.46040517129913	1.84052063618241	0	3.72010432719094	1.34908985437105	2.23318022803325
ABCA2	1	1	2	2	0	0	1	1	3	4	0	2	1	0	1	1	0.678538209254245	0.739431666603954	1.42697268978639	1.59544951654375	0	0	1.53796301651771	0.744862380249782	2.47663207354444	2.11277942212401	0	1.84052063618241	0.692357484173531	0	1.34908985437105	0.744393409344418
ABCA4	6	2	2	3	1	5	2	1	4	1	3	2	3	2	1	5	4.07122925552547	1.47886333320791	1.42697268978639	2.39317427481562	0.951626482656161	3.57421605541117	3.07592603303543	0.744862380249782	3.30217609805926	0.528194855531002	2.67624310277948	1.84052063618241	2.07707245252059	2.48006955146063	1.34908985437105	3.72196704672209
ABCA5	17	15	11	10	6	11	5	15	8	19	11	6	20	5	7	16	11.5351495573222	11.0914749990593	7.84834979382512	7.97724758271873	5.70975889593697	7.86327532190458	7.68981508258857	11.1729357037467	6.60435219611851	10.035702255089	9.81289137685808	5.52156190854722	13.8471496834706	6.20017387865157	9.44362898059736	11.9102945495107
ABCA6	30	31	28	16	16	22	9	29	20	30	18	12	36	15	12	23	20.3561462776274	22.9223816647226	19.9776176570094	12.76359613235	15.2260237224986	15.7265506438092	13.8416671486594	21.6010090272437	16.5108804902963	15.8458456659301	16.0574586166769	11.0431238170944	24.9248694302471	18.6005216359547	16.1890782524526	17.1210484149216
ABCA8	49	43	58	45	38	42	20	29	27	54	31	33	40	21	25	26	33.248372253458	31.79556166397	41.3822080038052	35.8976141222343	36.1618063409341	30.0234148654538	30.7592603303543	21.6010090272437	22.2896886619	28.5225221986741	27.6545120620546	30.3685904970097	27.6942993669413	26.0407302903366	33.7272463592763	19.3542286429549
