Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	SOR+URS.A.5.7.1.C3	SOR+URS.A.5.8.1.C4	SOR+URS.A.5.9.1.C5	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	SOR+URS.A.5.7.1.C3.Norm	SOR+URS.A.5.8.1.C4.Norm	SOR+URS.A.5.9.1.C5.Norm
ABCA10	16	6	8	4	12	6	5	14	11	15	8	2	13	1	2	4	11.5665153715962	4.80406616083238	6.18303798791406	3.5098861560858	12.5098454139958	4.66986704633305	8.41626782243331	11.3928555915249	9.88097231170163	8.52490352612832	7.81446063487578	2.01445193739588	9.67761164563199	5.22969331814218	8.32427454856799	9.4520352741347
ABCA11P	8	6	6	5	7	8	2	4	6	9	3	4	4	0	0	2	5.78325768579808	4.80406616083238	4.63727849093555	4.38735769510726	7.29740982483088	6.22648939511074	3.36650712897332	3.25510159757855	5.38962126092816	5.11494211567699	2.93042273807842	4.02890387479177	2.97772666019446	0	0	4.72601763706735
ABCA13	1	3	5	3	0	4	1	4	1	10	5	2	0	0	1	0	0.72290721072476	2.40203308041619	3.86439874244629	2.63241461706435	0	3.11324469755537	1.68325356448666	3.25510159757855	0.898270210154694	5.68326901741888	4.88403789679737	2.01445193739588	0	0	4.16213727428399	0
ABCA2	1	1	2	2	0	0	1	1	3	4	0	2	1	0	0	0	0.72290721072476	0.800677693472063	1.54575949697852	1.7549430780429	0	0	1.68325356448666	0.813775399394637	2.69481063046408	2.27330760696755	0	2.01445193739588	0.744431665048615	0	0	0
ABCA4	6	2	2	3	1	5	2	1	4	1	3	2	3	0	1	0	4.33744326434856	1.60135538694413	1.54575949697852	2.63241461706435	1.04248711783298	3.89155587194421	3.36650712897332	0.813775399394637	3.59308084061878	0.568326901741888	2.93042273807842	2.01445193739588	2.23329499514584	0	4.16213727428399	0
ABCA5	17	15	11	10	6	11	5	15	8	19	11	6	20	3	1	4	12.2894225823209	12.0101654020809	8.50167723338184	8.77471539021451	6.2549227069979	8.56142291827727	8.41626782243331	12.2066309909196	7.18616168123755	10.7982111330959	10.7448833729542	6.04335581218765	14.8886333009723	15.6890799544265	4.16213727428399	9.4520352741347
ABCA6	30	31	28	16	16	22	9	29	20	30	18	12	36	7	3	5	21.6872163217428	24.8210084976339	21.6406329576992	14.0395446243432	16.6797938853277	17.1228458365545	15.14928208038	23.5994865824445	17.9654042030939	17.0498070522566	17.5825364284705	12.0867116243753	26.7995399417501	36.6078532269952	12.486411822852	11.8150440926684
ABCA8	49	43	58	45	38	42	20	29	27	54	31	33	40	4	5	16	35.4224533255132	34.4291408192987	44.827025412377	39.4862192559653	39.6145104776534	32.6890693243314	33.6650712897332	23.5994865824445	24.2532956741767	30.6896526940619	30.2810349601437	33.2384569670321	29.7772666019446	20.9187732725687	20.81068637142	37.8081410965388
ABCA9	56	39	46	45	25	54	25	61	56	74	37	28	74	6	9	30	40.4828038005866	31.2264300454104	35.5524684305059	39.4862192559653	26.0621779458246	42.0288034169975	42.0813391121666	49.6402993630729	50.3031317686629	42.0561907288997	36.1418804363005	28.2023271235424	55.0879432135975	31.3781599088531	37.4592354685559	70.8902645560102
ABCB10	11	14	3	9	5	2	3	5	9	9	10	1	6	1	4	2	7.95197931797236	11.2094877086089	2.31863924546777	7.89724385119306	5.21243558916492	1.55662234877768	5.04976069345999	4.06887699697319	8.08443189139224	5.11494211567699	9.76807579359473	1.00722596869794	4.46658999029169	5.22969331814218	16.648549097136	4.72601763706735
ABCB5	4	14	4	1	5	8	5	9	8	13	3	6	6	0	5	7	2.89162884289904	11.2094877086089	3.09151899395703	0.877471539021451	5.21243558916492	6.22648939511074	8.41626782243331	7.32397859455173	7.18616168123755	7.38824972264454	2.93042273807842	6.04335581218765	4.46658999029169	0	20.81068637142	16.5410617297357
